eventid,iyear,imonth,iday,country,country_txt,region,region_txt,latitude,longitude,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,gname,weaptype1,weaptype1_txt,nkill,nkillter,nwound,nwoundte,property,propextent,propextent_txt
201409120077,2014,9,12,95,Iraq,10,Middle East & North Africa,34.275204,44.538339,0,0,3,Bombing/Explosion,20,Unknown,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,0,,
201409120078,2014,9,12,95,Iraq,10,Middle East & North Africa,34.275204,44.538339,0,0,3,Bombing/Explosion,20,Unknown,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,0,,
201409120079,2014,9,12,95,Iraq,10,Middle East & North Africa,34.275204,44.538339,0,0,3,Bombing/Explosion,20,Unknown,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,0,,
201409120080,2014,9,12,95,Iraq,10,Middle East & North Africa,34.275204,44.538339,0,0,3,Bombing/Explosion,20,Unknown,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,0,,
201409120081,2014,9,12,95,Iraq,10,Middle East & North Africa,34.275204,44.538339,0,0,3,Bombing/Explosion,20,Unknown,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,0,,
201409120084,2014,9,12,95,Iraq,10,Middle East & North Africa,34.68245,43.549927,1,1,3,Bombing/Explosion,17,Terrorists/Non-State Militia,Al-Naqshabandiya Army,6,Explosives/Bombs/Dynamite,4,1,5,0,1,4,Unknown
201409120085,2014,9,12,95,Iraq,10,Middle East & North Africa,33.395471,43.85474,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Islamic State of Iraq and the Levant (ISIL),6,Explosives/Bombs/Dynamite,0,0,0,0,1,3,Minor (likely < $1 million)
201409120086,2014,9,12,95,Iraq,10,Middle East & North Africa,33.395471,43.85474,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Islamic State of Iraq and the Levant (ISIL),6,Explosives/Bombs/Dynamite,0,0,0,0,1,3,Minor (likely < $1 million)
201409120087,2014,9,12,95,Iraq,10,Middle East & North Africa,33.395471,43.85474,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Islamic State of Iraq and the Levant (ISIL),6,Explosives/Bombs/Dynamite,0,0,0,0,1,3,Minor (likely < $1 million)
201409120088,2014,9,12,95,Iraq,10,Middle East & North Africa,33.395471,43.85474,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Islamic State of Iraq and the Levant (ISIL),6,Explosives/Bombs/Dynamite,0,0,0,0,1,3,Minor (likely < $1 million)
201409120089,2014,9,12,95,Iraq,10,Middle East & North Africa,33.395471,43.85474,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Islamic State of Iraq and the Levant (ISIL),6,Explosives/Bombs/Dynamite,0,0,0,0,1,3,Minor (likely < $1 million)
201409120090,2014,9,12,95,Iraq,10,Middle East & North Africa,34.186255,45.12633,1,0,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,Islamic State of Iraq and the Levant (ISIL),5,Firearms,7,0,0,0,0,,
201409120091,2014,9,12,110,Lebanon,10,Middle East & North Africa,34.180261,36.421203,1,0,7,Facility/Infrastructure Attack,1,Business,Islamic State of Iraq and the Levant (ISIL),13,Unknown,0,0,0,0,1,4,Unknown
201409120092,2014,9,12,110,Lebanon,10,Middle East & North Africa,34.180261,36.421203,1,0,7,Facility/Infrastructure Attack,1,Business,Islamic State of Iraq and the Levant (ISIL),13,Unknown,0,0,0,0,1,4,Unknown
